ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2024-01-22,2008.9015681900296,1397.6243810040664,2223.300575206606,2008.9015681900296,2008.9015681900296,-190.1503075935043,-190.1503075935043,-190.1503075935043,-190.1503075935043,-190.1503075935043,-190.1503075935043,0.0,0.0,0.0,1818.7512605965253
2024-01-23,2005.6471857193853,1596.3448588221943,2521.6675497361925,2005.6471857193853,2005.6471857193853,76.49658472194632,76.49658472194632,76.49658472194632,76.49658472194632,76.49658472194632,76.49658472194632,0.0,0.0,0.0,2082.1437704413315
2024-01-24,2002.392803248741,1634.379576294153,2488.8048315296155,2002.392803248741,2002.392803248741,84.89416100497753,84.89416100497753,84.89416100497753,84.89416100497753,84.89416100497753,84.89416100497753,0.0,0.0,0.0,2087.2869642537185
2024-01-25,1999.1384207780966,1515.7674016027065,2358.834299873799,1999.1384207780966,1999.1384207780966,-79.75898537621494,-79.75898537621494,-79.75898537621494,-79.75898537621494,-79.75898537621494,-79.75898537621494,0.0,0.0,0.0,1919.3794354018817
2024-01-26,1995.8840382357,1503.4006117291835,2351.0040401323236,1995.8840382357,1995.8840382357,-69.99523354364258,-69.99523354364258,-69.99523354364258,-69.99523354364258,-69.99523354364258,-69.99523354364258,0.0,0.0,0.0,1925.8888046920574
2024-01-27,1992.6296556933034,1578.675499550334,2435.579396972744,1992.6296556933034,1992.6296556933034,10.242979031130636,10.242979031130636,10.242979031130636,10.242979031130636,10.242979031130636,10.242979031130636,0.0,0.0,0.0,2002.8726347244342
2024-01-28,1989.3752731509067,1734.5272659253073,2599.4458451615906,1989.3752731509067,1989.3752731509067,168.27080175481467,168.27080175481467,168.27080175481467,168.27080175481467,168.27080175481467,168.27080175481467,0.0,0.0,0.0,2157.6460749057214
2024-01-29,1986.1208906085103,1362.3776392061054,2230.8224942253973,1986.1208906085103,1986.1208906085103,-190.15030759325623,-190.15030759325623,-190.15030759325623,-190.15030759325623,-190.15030759325623,-190.15030759325623,0.0,0.0,0.0,1795.970583015254
2024-01-30,1982.8665080661137,1612.8410759215822,2499.647406884496,1982.8665080661137,1982.8665080661137,76.49658472247758,76.49658472247758,76.49658472247758,76.49658472247758,76.49658472247758,76.49658472247758,0.0,0.0,0.0,2059.3630927885915
2024-01-31,1979.6121253317676,1638.0616895601192,2491.7387105426715,1979.6121253317676,1979.6121253317676,84.89416100508257,84.89416100508257,84.89416100508257,84.89416100508257,84.89416100508257,84.89416100508257,0.0,0.0,0.0,2064.5062863368503
2024-02-01,1976.3577425974217,1458.7299906757908,2317.4667020916218,1976.3577425974217,1976.3577425974217,-79.75898537705135,-79.75898537705135,-79.75898537705135,-79.75898537705135,-79.75898537705135,-79.75898537705135,0.0,0.0,0.0,1896.5987572203703
2024-02-02,1973.1033598630759,1457.0070271210268,2335.2083223471445,1973.1033598630759,1973.1033598630759,-69.99523354340225,-69.99523354340225,-69.99523354340225,-69.99523354340225,-69.99523354340225,-69.99523354340225,0.0,0.0,0.0,1903.1081263196736
2024-02-03,1969.8489771287295,1536.0178517307245,2379.824846017108,1969.8489771287295,1969.8489771287295,10.242979031544447,10.242979031544447,10.242979031544447,10.242979031544447,10.242979031544447,10.242979031544447,0.0,0.0,0.0,1980.0919561602739
2024-02-04,1966.5945942690446,1687.2740525295596,2559.6141802304355,1966.5945942690446,1966.5945942690446,168.27080175544464,168.27080175544464,168.27080175544464,168.27080175544464,168.27080175544464,168.27080175544464,0.0,0.0,0.0,2134.865396024489
2024-02-05,1963.3402114093594,1325.200232422682,2220.2731687677415,1963.3402114093594,1963.3402114093594,-190.15030759347292,-190.15030759347292,-190.15030759347292,-190.15030759347292,-190.15030759347292,-190.15030759347292,0.0,0.0,0.0,1773.1899038158865
2024-02-06,1960.085828549674,1604.2029030787153,2472.0937661036774,1960.085828549674,1960.085828549674,76.49658472252025,76.49658472252025,76.49658472252025,76.49658472252025,76.49658472252025,76.49658472252025,0.0,0.0,0.0,2036.5824132721943
2024-02-07,1956.831445689989,1652.7077122099984,2445.7278120094816,1956.831445689989,1956.831445689989,84.89416100518757,84.89416100518757,84.89416100518757,84.89416100518757,84.89416100518757,84.89416100518757,0.0,0.0,0.0,2041.7256066951766
2024-02-08,1953.5770628303044,1432.0661342389644,2306.074555530295,1953.5770628303044,1953.5770628303044,-79.75898537667263,-79.75898537667263,-79.75898537667263,-79.75898537667263,-79.75898537667263,-79.75898537667263,0.0,0.0,0.0,1873.8180774536318
2024-02-09,1950.3226799020765,1446.7122123170047,2308.910523294011,1950.3226799020765,1950.3226799020765,-69.99523354373989,-69.99523354373989,-69.99523354373989,-69.99523354373989,-69.99523354373989,-69.99523354373989,0.0,0.0,0.0,1880.3274463583366
2024-02-10,1947.0682969738486,1525.9878604074117,2407.636367769489,1947.0682969738486,1947.0682969738486,10.242979031958267,10.242979031958267,10.242979031958267,10.242979031958267,10.242979031958267,10.242979031958267,0.0,0.0,0.0,1957.3112760058068
2024-02-11,1943.8139140456208,1667.5567815920774,2538.741215616888,1943.8139140456208,1943.8139140456208,168.27080175532853,168.27080175532853,168.27080175532853,168.27080175532853,168.27080175532853,168.27080175532853,0.0,0.0,0.0,2112.084715800949
2024-02-12,1940.5595311173927,1347.2413407894273,2198.8064747918042,1940.5595311173927,1940.5595311173927,-190.15030759324176,-190.15030759324176,-190.15030759324176,-190.15030759324176,-190.15030759324176,-190.15030759324176,0.0,0.0,0.0,1750.409223524151
2024-02-13,1937.305148189165,1563.1704293424705,2427.4959991692294,1937.305148189165,1937.305148189165,76.49658472256293,76.49658472256293,76.49658472256293,76.49658472256293,76.49658472256293,76.49658472256293,0.0,0.0,0.0,2013.8017329117279
2024-02-14,1934.0507652583074,1557.399127983536,2453.386239243402,1934.0507652583074,1934.0507652583074,84.89416100463606,84.89416100463606,84.89416100463606,84.89416100463606,84.89416100463606,84.89416100463606,0.0,0.0,0.0,2018.9449262629435
